id_municipio,nome_municipio,uf
5103403,CUIABA,MT
5107602,RONDONOPOLIS,MT
5300108,BRASILIA,DF
2806701,SAO CRISTOVAO,SE
1302603,MANAUS,AM
2211001,TERESINA,PI
2207702,PARNAIBA,PI
3146107,OURO PRETO,MG
3171303,VICOSA,MG
4113700,LONDRINA,PR
4106902,CURITIBA,PR
2611606,RECIFE,PE
4315602,RIO GRANDE,RS
4305108,CAXIAS DO SUL,RS
4322509,VACARIA,RS
4302105,BENTO GONCALVES,RS
4318705,SAO LEOPOLDO,RS
3303906,PETROPOLIS,RJ
3170206,UBERLANDIA,MG
4314407,PELOTAS,RS
3509502,CAMPINAS,SP
4314100,PASSO FUNDO,RS
4304705,CARAZINHO,RS
4311304,LAGOA VERMELHA,RS
4320800,SOLEDADE,RS
4304903,CASCA,RS
4314902,PORTO ALEGRE,RS
3550308,SAO PAULO,SP
4313409,NOVO HAMBURGO,RS
2913606,ILHEUS,BA
3169307,TRES CORACOES,MG
3122306,DIVINOPOLIS,MG
2304400,FORTALEZA,CE
3101607,ALFENAS,MG
3111200,CAMPO BELO,MG
2927408,SALVADOR,BA
2903201,BARREIRAS,BA
4205407,FLORIANOPOLIS,SC
5201108,ANAPOLIS,GO
3503208,ARARAQUARA,SP
3516200,FRANCA,SP
3506003,BAURU,SP
4115200,MARINGA,PR
4105508,CIANORTE,PR
3548708,SAO BERNARDO DO CAMPO,SP
3505500,BARRETOS,SP
3537305,PENAPOLIS,SP
2408003,MOSSORO,RN
4118402,PARANAVAI,PR
4202404,BLUMENAU,SC
4214805,RIO DO SUL,SC
4209102,JOINVILLE,SC
4209003,JOACABA,SC
4219309,VIDEIRA,SC
4204202,CHAPECO,SC
4217204,SAO MIGUEL D´OESTE,SC
4219507,XANXERE,SC
4203600,CAMPOS NOVOS,SC
4208203,ITAJAI,SC
4202008,BALNEARIO CAMBORIU,SC
4202305,BIGUACU,SC
4218004,TIJUCAS,SC
3302205,ITAPERUNA,RJ
5218805,RIO VERDE,GO
2312908,SOBRAL,CE
3139003,MACHADO,MG
3118304,CONSELHEIRO LAFAIETE,MG
3104007,ARAXA,MG
3162500,SAO JOAO DEL REI,MG
3502101,ANDRADINA,SP
3167202,SETE LAGOAS,MG
3541406,PRESIDENTE PRUDENTE,SP
3504107,ATIBAIA,SP
3168606,TEOFILO OTONI,MG
3170107,UBERABA,MG
3170701,VARGINHA,MG
3549805,SAO JOSE DO RIO PRETO,SP
3552205,SOROCABA,SP
3304557,RIO DE JANEIRO,RJ
3304201,RESENDE,RJ
3301009,CAMPOS DOS GOYTACAZES,RJ
3303401,NOVA FRIBURGO,RJ
3159605,SANTA RITA DO SAPUCAI,MG
3152501,POUSO ALEGRE,MG
2604106,CARUARU,PE
4311403,LAJEADO,RS
3543402,RIBEIRAO PRETO,SP
3543907,RIO CLARO,SP
3547809,SANTO ANDRE,SP
3549102,SAO JOAO DA BOA VISTA,SP
3557105,VOTUPORANGA,SP
3548500,SANTOS,SP
3534401,OSASCO,SP
3534708,OURINHOS,SP
3538709,PIRACICABA,SP
3205309,VITORIA,ES
3555000,TUPA,SP
3549904,SAO JOSE DOS CAMPOS,SP
3127701,GOVERNADOR VALADARES,MG
